# of comparisons,AOD_comp,Within_comp,EOD_comp
3150.0,-0.0657070633885588,-0.08390937019969275,-0.14961643358825155
3150.0,-0.04581000517227296,-0.09342908438061037,-0.13923908955288333
3150.0,-0.09656410171712335,-0.08704348948251389,-0.18360759119963724
3150.0,-0.07420752937762948,-0.08497809380162322,-0.1591856231792527
3150.0,-0.053116742274969875,-0.10684296018941691,-0.1599597024643868
3150.0,-0.08407799739614155,-0.07304167193004613,-0.15711966932618768
3150.0,-0.05959833854322788,-0.11379391544571629,-0.17339225398894417
3150.0,-0.07114517009121224,-0.08704878455346221,-0.15819395464467445
3150.0,-0.08035662123333864,-0.11989838565478741,-0.20025500688812606
3150.0,-0.06081847695435805,-0.09465561808953823,-0.15547409504389628
3150.0,-0.06914020461488328,-0.09446413737274074,-0.16360434198762402
0.0,0.014504646922545486,0.013947215459762257,0.01672950747895699
