# of comparisons,AOD,EOD,# of comparisons,AOD,EOD
500,-0.015091154429103748,-0.0546955624355005,COMP,0.0758461538461539,-0.0715744091597661
500,0.04674754408805776,0.06,COMP,0.15652567410119841,0.07297484992537426
500,-0.05537070001195096,-0.14948453608247425,COMP,0.10952892475372038,-0.10367351145118305
500,0.02685297354866878,0.0007369196757553431,COMP,0.18585651354363011,-0.0007259172626273569
500,0.06397856112141823,0.10775510204081629,COMP,0.19002725441403004,0.11007852060044455
500,-0.05455153832983975,-0.19642857142857145,COMP,0.0778744576495001,-0.20895295918461468
500,-0.12792375814012016,-0.30357142857142855,COMP,0.029817377979853815,-0.26470478618667237
500,0.01764102753874064,-0.026817219477769938,COMP,0.17408058608058607,-0.014577165702532313
500,-0.013198773581061807,-0.06600660066006597,COMP,0.1389667572261417,-0.05064737307926903
500,0.04045034476877882,0.01720310765815758,COMP,0.22619792151801033,0.016496096862914644
AVG,-0.007046547342641221,-0.06113087892810813,AVG,0.1364721621112825,-0.051530665463793146
STD,0.05590956315028484,0.11802155310866536,STD,0.058643685716551375,0.11114849028235144
ALL,0.04455813269651873,0.0377426949357903,ALL,0.04455813269651873,0.0377426949357903
