# of comparisons,AOD,EOD,# of comparisons,AOD,EOD
1000,-0.006600977838047861,-0.0587918015102481,COMP,0.1642770668966569,-0.04744739795908681
1000,0.09096792311452394,0.12278444825614634,COMP,0.37318832741086094,0.15280134127133796
1000,-0.003683056651906075,-0.06372159542348643,COMP,0.1745942017281757,-0.07417225197862923
1000,0.10824866346121165,0.18640776699029124,COMP,0.4031760258689579,0.44869812722676167
1000,-0.012062550905414138,-0.0627329192546584,COMP,0.1210498722439126,-0.09031788850471582
1000,0.09471465251980113,0.12774692103356677,COMP,0.2934068686164768,0.19663647535404805
1000,0.03452705826460006,0.014241398759165247,COMP,0.21539589338457701,0.037067561446924996
1000,0.06150021742179333,0.0801296214464575,COMP,0.2595366795366796,0.11631934978348701
1000,0.04777854358821515,0.046041055718475055,COMP,0.19587816459083496,0.06691347447169865
1000,-0.03469857796693179,-0.14229112833763996,COMP,0.14562139100371474,-0.14196450923074244
AVG,0.03806918950078454,0.024981376767806922,AVG,0.23461244912808477,0.0664534281881084
STD,0.048098843719082525,0.10017230894946222,STD,0.09106574470813875,0.165719404791521
ALL,0.04455813269651873,0.0377426949357903,ALL,0.04455813269651873,0.0377426949357903
