Acc_lr,Acc_unweight,Acc_weighted,F1_lr,F1_unweight,F1_weighted,violate_r,violate_r_w
0.7913404979877051,0.7153597806377426,0.7150501968068639,0.39882772680937817,0.6041333497355148,0.603922050777648,1.0,1.0
0.790898235372164,0.7109813807438857,0.7275220025651231,0.38357235984354626,0.5938218658710921,0.60680324207033,1.0,1.0
0.7881562071558091,0.7263721197647163,0.7077970899119898,0.36286246342112266,0.6058482512582022,0.5917825146740809,1.0,1.0
0.792092344434125,0.726239440980054,0.7324311175976295,0.38955979742890534,0.6074825618262524,0.6108824286081811,1.0,1.0
0.7893503162177701,0.7089469727123966,0.7089469727123966,0.3829511594766161,0.5899943928727183,0.5899943928727183,1.0,1.0
0.7938613948962894,0.7244703905178895,0.7284065277962054,0.3895219384413883,0.603739982190561,0.6067746686303387,1.0,1.0
0.7908097828490558,0.727035513688028,0.711910132236522,0.39374519354011794,0.6093176351436891,0.5983475151066716,1.0,1.0
0.8091636813940117,0.725089558179647,0.7133695988678077,0.46390856006957387,0.6034702730288339,0.5950640424867228,1.0,1.0
0.7935960373269647,0.7110698332669939,0.7121312635442926,0.391604745144049,0.592375366568915,0.5941766943076252,1.0,1.0
0.7911635929414886,0.7261067621953916,0.7100526292512493,0.38047756494358437,0.6052145088289667,0.592896174863388,1.0,1.0
