# of comparisons,AOD,EOD,# of comparisons,AOD,EOD
500,0.10739624687106392,0.14796479647964794,COMP,0.3749406739439962,0.26864815693719346
500,-0.015848316973104737,-0.07540485829959512,COMP,0.11695906432748537,-0.15713444712289626
500,0.10730866786767407,0.15532879818594103,COMP,0.36734693877551017,0.12972317639927256
500,0.09610986926776402,0.17167919799498746,COMP,0.40229885057471254,0.5557657226856525
500,0.05495713459660023,0.03853211009174312,COMP,0.29545454545454547,0.05259740259740259
500,0.02298051352441946,0.017523364485981296,COMP,0.11200701139351449,0.06277866848487419
500,0.03555096442668437,0.022796352583586643,COMP,0.22633464096878736,-0.03051467409970582
500,0.12625872717508058,0.17598684210526316,COMP,0.3897681266102318,0.3634728402837807
500,0.004447640977937789,-0.06334332833583206,COMP,0.2511166253101736,-0.09531194611839783
500,0.04810265165187255,0.047058823529411764,COMP,0.21365868174378816,0.14979269561631797
AVG,0.05872640993859922,0.06381220988211353,AVG,0.2749885159102745,0.12998175956634941
STD,0.04597460432779343,0.08942595771648723,STD,0.10322613260628397,0.20612802991711854
ALL,0.04455813269651873,0.0377426949357903,ALL,0.04455813269651873,0.0377426949357903
