Acc_lr,Acc_unweight,Acc_weighted,F1_lr,F1_unweight,F1_weighted,violate_r,violate_r_w
0.6706404214028279,0.6684225117826449,0.6703631827003049,0.7133204633204633,0.6985887096774194,0.7107759669180248,1.0,0.53
0.668145273080122,0.6675907956750763,0.6667590795675076,0.7149321266968326,0.7043156596794081,0.7051030421982336,1.0,0.62
0.6642639312448018,0.6662046021624619,0.6662046021624619,0.7126927639383155,0.6962663975782039,0.6983967935871743,1.0,0.42
0.6742445245356252,0.6698087052952593,0.668145273080122,0.7186976298779028,0.6956299514439049,0.6852484880357612,1.0,0.52
0.6734128084280565,0.6645411699473246,0.6650956473523704,0.7177767129851461,0.6971971971971972,0.6981509245377311,1.0,0.62
0.6684225117826449,0.6700859439977821,0.6686997504851677,0.7175247992442135,0.7066074950690335,0.7076094935160264,1.0,0.37
0.6662046021624619,0.6689769891876906,0.6675907956750763,0.7125119388729704,0.6960285132382892,0.6945222929936306,1.0,0.11
0.6686997504851677,0.6642639312448018,0.6648184086498475,0.7140464225891362,0.6947315351651122,0.6964599548079338,1.0,0.28
0.6792348211810368,0.6684225117826449,0.6662046021624619,0.7318655851680186,0.6997991967871486,0.6979427997992975,1.0,0.21
0.6850568339340172,0.6850568339340172,0.6822844469087884,0.7319490325625295,0.716566866267465,0.7163366336633663,1.0,0.42
