# of comparisons,AOD,EOD
COMP,0.013643292682926805,0.03890879456713372
COMP,0.0625,0.13182773109243695
COMP,0.047808441558441564,0.07197510822510822
COMP,0.04069182389937108,0.04385358860525343
COMP,0.07647531112003211,0.07553546149597197
COMP,0.035185185185185194,-0.031547146752761115
COMP,0.028616852146263916,0.039473366054608924
COMP,0.05116959064327485,0.03905864686817444
COMP,0.01656626506024097,-0.027495037621751352
COMP,0.12191582002902757,0.13961105255315742
COMP,0.07312227633940016,0.0931724016526834
COMP,0.07361581920903953,0.05179042238364273
COMP,0.05989698307579104,0.009675621703350526
COMP,0.05051274944567626,0.014718426736512934
COMP,0.08723159509202455,0.11272179117045594
COMP,0.1098249576510446,0.03193449111960446
COMP,-0.008907159986296665,-0.07334377970460655
COMP,0.04970059880239521,0.04438924349103989
COMP,-0.008145896656534965,0.0427878894215635
COMP,0.04296494644595909,0.002757423748164012
AVG,0.05121947258716314,0.04259027484048718
STD,0.03336528733273796,0.05212335081123438
ALL,0.04326241806788095,0.0369657759564328
