# of comparisons,AOD,EOD,# of comparisons,AOD,EOD
3000,0.02120549052228307,-0.013494363929146547,COMP,0.192275009656238,-0.024786040517874364
3000,0.019594230820341868,-0.009853692375607015,COMP,0.18107774230023962,-0.021991175709607097
3000,0.06582944397167731,0.08290030211480359,COMP,0.2590936693082328,0.10482559204628933
3000,0.057240541478653234,0.05494619923637628,COMP,0.2487010138210338,0.06958658030325435
3000,0.06982604180625057,0.09943849369831242,COMP,0.26350204474056427,0.13334786539750235
3000,0.02929275187737737,0.014310987552915877,COMP,0.18756641620253017,0.016477588358718126
3000,0.08727951680728588,0.1282208588957055,COMP,0.2926069202664947,0.20730959772602145
3000,0.034225661301645366,0.014681301537775804,COMP,0.20926872467199933,0.020199282810176133
3000,0.06908716830892625,0.08999017842527418,COMP,0.2396063953266831,0.1201553817137974
3000,0.04382105446635115,0.039423134641935254,COMP,0.20589997395154988,0.04939659221595383
AVG,0.04974019013607921,0.05005633997983454,AVG,0.22795979102455655,0.06745212643442314
STD,0.02217861550323395,0.046385051162308955,STD,0.03593968495184669,0.0705312317001798
ALL,0.04455813269651873,0.0377426949357903,ALL,0.04455813269651873,0.0377426949357903
