# of comparisons,AOD,EOD,AOD_comp,Within_comp,EOD_comp
1220.0,0.014782608695652177,-0.13043478260869568,0.11257321672149567,-0.16532258064516125,-0.05274936392366558
1220.0,0.014782608695652177,-0.13043478260869568,0.03702656868287166,-0.1441677588466579,-0.10714119016378623
1220.0,0.014782608695652177,-0.13043478260869568,0.047997457088366155,-0.18872870249017037,-0.1407312454018042
1220.0,0.014782608695652177,-0.13043478260869568,0.0648913376186104,-0.18145695364238412,-0.11656561602377372
1220.0,0.014782608695652177,-0.13043478260869568,0.08840460526315791,-0.1362397820163488,-0.04783517675319088
1220.0,0.014782608695652177,-0.13043478260869568,0.10947000269034167,-0.14323258869908018,-0.03376258600873851
1220.0,0.014782608695652177,-0.13043478260869568,0.09716753834400894,-0.11473272490221642,-0.017565186558207477
1220.0,0.014782608695652177,-0.13043478260869568,0.12439362439362436,-0.1613756613756614,-0.03698203698203703
1220.0,0.014782608695652177,-0.13043478260869568,0.06177046945556784,-0.15596330275229353,-0.09419283329672569
1220.0,0.014782608695652177,-0.13043478260869568,0.27693682329443914,0.10848912044131165,0.3854259437357508
1220.0,0.014782608695652177,-0.1304347826086957,0.10206316435524838,-0.12827309349286622,-0.026209929137617848
0.0,0.0,2.7755575615628914e-17,0.0645084469862833,0.08154641522795496,0.14258847203671474
