# of comparisons,AOD,EOD,# of comparisons,AOD,EOD
500,0.08207689748318081,0.12899896800825594,COMP,0.234397930022399,0.18596692971529943
500,-0.008338311099311962,-0.03508771929824561,COMP,0.04220077220077223,-0.09278463435358841
500,-0.0350653313729298,-0.13596138374899436,COMP,0.16234952967620322,-0.14152816885686445
500,0.11709787190914812,0.18610634648370494,COMP,0.33149464649529664,0.2886519954184867
500,0.15194182511916263,0.2511467889908257,COMP,0.5121179509255274,0.3734320637855766
500,0.12315962404027056,0.1728139245752176,COMP,0.48744406758069403,0.28506473842879876
500,0.11858114700299788,0.18985507246376812,COMP,0.37216319363566314,0.2729645610979355
500,0.05135015165504636,0.0731391585760518,COMP,0.17062023586358155,0.1632771116980275
500,-0.05380617398474538,-0.19454545454545452,COMP,0.13077363951437368,-0.1681929172023622
500,0.12957829602324572,0.15435647943387878,COMP,0.5045930428909151,0.22611700487479147
AVG,0.0676575996776065,0.07908221809390084,AVG,0.2948155008805426,0.1392968684606101
STD,0.07114119940936894,0.1429896791769023,STD,0.16217480556749944,0.18809756622525733
ALL,0.04455813269651873,0.0377426949357903,ALL,0.04455813269651873,0.0377426949357903
