# of comparisons,AOD,EOD
COMP,0.06865160321798375,0.12014354934948628
COMP,0.07142857142857142,0.01970992652078707
COMP,0.049107142857142856,0.03834176072823937
COMP,0.042004016820435565,0.03013611176367604
COMP,0.017318507157464202,-0.024920324756319907
COMP,0.01973684210526315,-0.02394977551255352
COMP,-0.010092527109853852,0.01822462499370603
COMP,0.005093663080995952,-0.0394850019312299
COMP,0.010204081632653081,0.04452519330183106
COMP,0.07293929712460062,-0.013842508620953417
COMP,0.07036214020346519,0.02797748206005217
COMP,0.0072589125199280955,-0.03488212401363182
COMP,0.07399829497016196,0.04248707115124585
COMP,-0.01204819277108433,-0.05001155550469314
COMP,0.04615138933248163,0.006890957141721589
COMP,0.06637084592145016,0.10318544339073311
COMP,0.07022407022407022,0.05261924446922643
COMP,0.06000443655723159,0.03958875259496744
COMP,0.07596273291925466,0.06693530342193589
COMP,0.03215145146059885,-0.002097891841078253
AVG,0.04184136398264074,0.021078811935357423
STD,0.029760673898997336,0.044382512327448796
ALL,0.04326241806788095,0.0369657759564328
