# of comparisons,AOD,EOD,# of comparisons,AOD,EOD
3000,0.05430917977878583,0.05933363760839799,COMP,0.05170061466730471,0.06271017036712591
3000,0.014403302135263807,-0.01921644364739966,COMP,0.0219848684595184,-0.020079297607216974
3000,0.03614986747530746,0.02721872384793733,COMP,0.03969719365615952,0.034980461196980596
3000,0.04502936891727735,0.03658067000385057,COMP,0.04633928404543199,0.03501107412863192
3000,0.03695035051407372,0.022019908812361655,COMP,0.043209464650433044,0.016913399367987584
3000,0.034023300595003636,0.02168929642038442,COMP,0.029107318889009033,0.009159039539324822
3000,0.02110190592131972,-0.007322929171668657,COMP,0.019626416861007915,-0.0011878329409825035
3000,0.025301882530117364,0.0016808504194554819,COMP,0.02897763029921619,-0.0004576417886557535
3000,0.05559331368482506,0.06541915416645766,COMP,0.0607986507262755,0.06707528844819854
3000,0.0634039312169942,0.0807172492387685,COMP,0.06427339338264536,0.07932914741987426
AVG,0.038626640276896815,0.02881201176985453,AVG,0.04057148356370017,0.02834538081312684
STD,0.015133703489914543,0.030780073020555073,STD,0.014784349206106082,0.03148702100865518
ALL,0.04455813269651873,0.0377426949357903,ALL,0.04455813269651873,0.0377426949357903
