MSE_lr,MSE_unweight,MSE_weight,spearman_lr,pearson_lr,spearman_unweighted,pearson_unweighted,spearman_weighted,pearson_weighted,violate_r,violate_r_w
0.11990364005026395,0.2725742757320404,0.2498915046453476,0.5833424994582326,0.6002196276564367,0.5368442421955657,0.5261273137341274,0.5345410907613731,0.5435568472009511,1.0,1.0
0.11946528057668952,0.25078776478767395,0.2844640910625458,0.5858721116028892,0.6009555886343869,0.5316910221415692,0.505255066416648,0.5425363166754752,0.5524349955639271,1.0,1.0
0.11890220760196364,0.25140124559402466,0.27834516763687134,0.5837837256226537,0.6011709023476897,0.5328313870343061,0.4907291479083582,0.5426590891909037,0.5496473075377624,1.0,1.0
0.11908412228741327,0.21838544309139252,0.26088830828666687,0.583329238712335,0.6004883726031929,0.542698490409094,0.5187547077081391,0.5368873424423217,0.541912478889452,1.0,1.0
0.11852832441116821,5.615599632263184,0.3123475909233093,0.590091592858411,0.6060726348061618,0.5318099452465348,0.0463093507847097,0.5529540217563156,0.5586121679520054,1.0,1.0
0.11932803901635974,0.22119121253490448,0.2605784833431244,0.5804851419392976,0.5971423763713504,0.5363796866142837,0.509399681913064,0.5307268049173617,0.4914285264046159,1.0,1.0
0.11843182564946471,0.20553554594516754,0.27973151206970215,0.5823199087346623,0.6003915764854684,0.5395139808894059,0.5260708065329573,0.5325588676556171,0.49909428290290914,1.0,1.0
0.12037683581202442,0.22955530881881714,0.34529605507850647,0.5776992916302259,0.5942449184237125,0.5441453438489705,0.5286300717200688,0.5345498545736469,0.5368217161577693,1.0,1.0
0.12024880432434851,0.1940518170595169,0.2743329703807831,0.5803210142974148,0.5964895356700851,0.5383971140535087,0.5265502258092419,0.5355868939776413,0.4610232439239274,1.0,1.0
0.11875048222265475,0.24789568781852722,0.3280375897884369,0.5905985567224041,0.6066033175873726,0.5364703049477861,0.531109599017048,0.5405076061645405,0.546884795616213,1.0,0.78
