MSE_lr,MSE_unweight,MSE_weight,spearman_lr,pearson_lr,spearman_unweighted,pearson_unweighted,spearman_weighted,pearson_weighted,violate_r,violate_r_w
0.00926720798526668,0.2918404501021937,0.44849108289365913,0.3597628142840156,0.3651137825575034,0.269681239722758,0.27177194484682754,0.29110289059720607,0.2947210392273357,1.0,1.0
0.009002313244887839,0.3406296569415653,0.19319849434150732,0.3811927689542481,0.38897334567445724,0.3135796950052021,0.314166082660286,0.304965182291281,0.3092444652492273,1.0,1.0
0.009205526336431546,0.3532718310855268,0.6611138944058058,0.3670619828999295,0.3762734778149881,0.291612146659536,0.2966650927697124,0.28851568446568204,0.2933090942217873,1.0,1.0
0.00908776880071374,0.5331395857527608,0.4221606173381865,0.3776362901525825,0.38232460357476217,0.3150528983047922,0.3133469919212437,0.3164735057953931,0.3162337072988177,1.0,1.0
0.008971439155174175,0.6065807676104322,0.7225303518848075,0.35807527488795765,0.371278055514817,0.2969235955772729,0.30072467908047446,0.2808247320521088,0.28730406726025653,1.0,1.0
0.009098133806006698,0.400140644032477,0.08150770314174233,0.38465234612029514,0.39473391969740695,0.29651775565889577,0.3050122212221841,0.3128622175764316,0.3171454195397473,1.0,1.0
0.008973888358729443,0.3611362531151712,0.12403279910523766,0.3803180758649497,0.3895270553866523,0.29652525103438543,0.30126978539464655,0.30715152462264356,0.31765646008980086,1.0,1.0
0.009272181364328244,0.2054353923528611,0.27163762663442226,0.3777478112677468,0.3812662995229352,0.30567138240983627,0.30966274459981274,0.31237081579133336,0.3133789045122503,1.0,1.0
0.008973074067040421,0.5786886584294821,0.4925803358955953,0.37661109374374396,0.3884454148204884,0.3090953372937306,0.31339220299684045,0.30323073053298466,0.3085051832163504,1.0,1.0
0.008853370046261754,0.41439591684454746,0.5794027840506177,0.38207700308947545,0.39191078737774965,0.29510519908916877,0.2991334868012831,0.29088704669400123,0.28679569805905103,1.0,1.0
