AOD,gAOD,MI,AOD_comp,Within_comp,Sep_comp
-0.13247863247863245,-0.1324786324786325,,0.049603174603174593,0.055194805194805185,0.07420876936862326
0.1388888888888889,0.13888888888888884,,0.23809523809523814,-0.08421052631578951,0.2525485203797686
-0.04886363636363633,-0.04886363636363637,,-0.010144927536231918,-0.22448979591836737,0.2247189089199786
-0.08416889483065954,-0.08416889483065955,0.010976089463088099,-0.044523246650906234,0.05322128851540614,0.069388940354912
0.08333333333333337,0.08333333333333331,,0.07500000000000001,-0.07692307692307693,0.10743444402664172
-0.025691699604743046,-0.025691699604743046,,-0.04520917678812414,-0.13414634146341464,0.14155956553295473
-0.19757033248081846,-0.1975703324808184,,-0.2833333333333333,0.05434782608695654,0.28849863774055473
-0.1751207729468599,-0.1751207729468599,,-0.1449652777777778,0.12031249999999999,0.18838797577721958
-0.25807416267942584,-0.25807416267942584,0.03279230623172502,-0.2801595214356929,-0.052991452991453,0.285127079635067
-0.1646491228070175,-0.16464912280701752,0.020326584820209312,-0.1636904761904762,0.25526315789473686,0.30323893512189065
-0.08643950319695708,-0.0864395031969571,0.02136499350500748,-0.060932754701412975,-0.0034421615920196768,0.1935111776857611
0.1194204038501973,0.11942040385019727,0.008936649184548494,0.15438670897384127,0.13136062078790156,0.08584254064363644
