# of comparisons,AOD_comp,Within_comp,EOD_comp
2100.0,-0.019205006169575156,0.05709965220021174,0.03789464603063658
2100.0,-0.01708982427592587,0.09555699935029233,0.07846717507436646
2100.0,-0.0227240005758986,0.07097873030677834,0.04825472973087974
2100.0,-0.03963198867657469,0.05695011112216808,0.017318122445593387
2100.0,-0.01691732252785788,0.09358807352728327,0.07667075099942539
2100.0,-0.08956236751867211,0.040528212659594914,-0.049034154859077195
2100.0,-0.01768670498282679,0.04179899015284794,0.024112285170021147
2100.0,-0.018681318681318615,0.05714124184273439,0.03845992316141578
2100.0,-0.007521672616012193,0.05047067587701473,0.04294900326100254
2100.0,-0.03139259992303045,0.08128654970760232,0.04989394978457187
2100.0,-0.028041280594769236,0.0645399236746528,0.036498643079883576
0.0,0.022127653461668558,0.01893969680753346,0.03402553760799859
