# of comparisons,AOD_comp,Within_comp,EOD_comp
1050.0,0.07970431459318109,-0.14501574317525234,-0.06531142858207126
1050.0,0.010221632512654233,-0.09341132504671379,-0.08318969253405956
1050.0,0.009581009581009603,-0.15056285178236398,-0.14098184220135437
1050.0,0.04335136907689788,-0.1195077064642282,-0.07615633738733033
1050.0,0.04468911917098445,-0.15629601177901545,-0.111606892608031
1050.0,-0.021761658031088094,-0.10059722097175955,-0.12235887900284764
1050.0,0.07816729718369061,-0.06533236878064463,0.012834928403045981
1050.0,0.03510998307952626,-0.07210440996460118,-0.03699442688507493
1050.0,0.06720406163712478,-0.03958333333333333,0.027620728303791447
1050.0,0.02767015258014746,-0.1421963310283856,-0.11452617844823815
1050.0,0.03739372813841283,-0.10846073023262981,-0.07106700209421697
0.0,0.03088856597230386,0.038563520299230214,0.05403411355208719
