MSE_lr,MSE_unweight,MSE_weight,spearman_lr,pearson_lr,spearman_unweighted,pearson_unweighted,spearman_weighted,pearson_weighted,violate_r,violate_r_w
0.019300832779243667,0.25545533351947664,0.6215197744592972,0.8095396594485039,0.7997961954077755,0.7392032181905575,0.6954591082436744,0.8148202602873937,0.742101180208683,1.0,1.0
0.018903865797990676,0.3008760725258178,0.23292786783631395,0.8087436041772535,0.8036326467558111,0.7934834364531459,0.7475293800410888,0.7174739990429257,0.6959531804256476,1.0,1.0
0.019343450472030854,0.4591071784549571,0.4141263737783469,0.8007969851359845,0.7990486189169684,0.8002024129409976,0.7289260581002346,0.8021127422409176,0.7421727511021535,1.0,1.0
0.0180398344747694,0.5215860220520705,0.326746272940491,0.8088647531533576,0.8117261340122972,0.8149289794883909,0.7702034467921905,0.7928223999517255,0.7561498287310139,1.0,1.0
0.023112022471721658,0.3230941895945081,0.4717069911341438,0.7836173478627575,0.7750774292554538,0.7937585297053988,0.7481624694935718,0.8047480746705873,0.7516936607195243,1.0,1.0
0.019326515995293315,0.9226272271903537,0.6949029735089887,0.8170168690355036,0.8032563690946785,0.8218623232636975,0.7498250882038613,0.8090123708356198,0.7453627894645505,1.0,1.0
0.021561367156380434,0.46392755479344133,0.5503153543345886,0.7969500848670232,0.7770158275521653,0.8078376095926254,0.7334632012542492,0.8067693361267597,0.7361246668560762,1.0,1.0
0.023582080149641426,0.2024265478778541,0.26536206704565307,0.7843030132703682,0.7657561031206248,0.8058559958802601,0.7494100939972725,0.8030963223122867,0.7554317267594913,1.0,1.0
0.021136170296264644,0.48554651358190487,0.18239571877064076,0.7894876557633106,0.7854124154381383,0.7804900443797999,0.7236979851520061,0.6926691310418731,0.6700799779632842,1.0,1.0
0.022773409944636887,0.24752814198645473,0.30710559763239836,0.7827923278520241,0.7710774717063399,0.723406456261424,0.6847428191508337,0.7865209240744385,0.7330446370611069,1.0,1.0
