# of comparisons,AOD_comp,Within_comp,EOD_comp
1220.0,0.1409395973154362,-0.15220293724966627,-0.011263339934230066
1220.0,0.14478114478114484,-0.15761589403973508,-0.012834749258590239
1220.0,0.16387959866220742,-0.15243101182654406,0.011448586835663355
1220.0,0.15050167224080274,-0.16176470588235292,-0.01126303364155018
1220.0,0.13265306122448983,-0.1642384105960265,-0.031585349371536675
1220.0,0.15050167224080274,-0.15333333333333332,-0.0028316610925305796
1220.0,0.13194444444444442,-0.1610389610389611,-0.029094516594516673
1220.0,0.1453900709219858,-0.15019762845849804,-0.004807557536512241
1220.0,0.1538461538461538,-0.14117647058823535,0.012669683257918452
1220.0,0.14814814814814814,-0.1483443708609271,-0.00019622271277897063
1220.0,0.1462585563825616,-0.154234372387428,-0.007975816004866382
0.0,0.009104301315149419,0.0066649137035768476,0.01396137083141891
