# of comparisons,AOD,EOD
COMP,0.05114498740396502,0.07386646740651383
COMP,0.03916613179289689,0.02369028736524735
COMP,0.05223070458047345,0.001398981358640361
COMP,0.04671726979829028,0.03199605735308553
COMP,0.06131822376751874,0.0389493899505632
COMP,0.04380348402526655,0.03960451761699785
COMP,0.020641250230499713,0.0025501710040492995
COMP,0.03301268283860465,0.012842091871187754
COMP,0.027923166392993973,0.042553024148029396
COMP,0.05590312815338042,0.03378036600504281
COMP,0.020987210780843295,0.0013087416683909385
COMP,0.047417803970223354,0.019441354284634005
COMP,0.017487012321960205,-0.004968162039186215
COMP,0.05130749061016229,0.02901276993407567
COMP,0.034926366867911736,0.050747425242161595
COMP,0.008895252972316213,0.004156603116489906
COMP,0.06393320890280368,0.023467278388394852
COMP,0.054058421571041626,0.04117182363289729
COMP,0.053475033738191645,0.061908686964818514
COMP,0.024078361994952772,0.005133579892275936
AVG,0.04042135963571482,0.026630572758215492
STD,0.015584138023592535,0.021227178736905855
ALL,0.04326241806788095,0.0369657759564328
