Acc_lr,Acc_unweight,Acc_weighted,F1_lr,F1_unweight,F1_weighted,violate_r,violate_r_w
0.868421052631579,0.7960526315789473,0.7894736842105263,0.8809523809523809,0.8208092485549133,0.7894736842105263,1.0,1.0
0.8157894736842105,0.8223684210526315,0.8157894736842105,0.8444444444444444,0.8491620111731844,0.8426966292134831,1.0,0.93
0.8157894736842105,0.7171052631578947,0.7697368421052632,0.8409090909090909,0.7425149700598802,0.7976878612716763,1.0,1.0
0.8157894736842105,0.7631578947368421,0.7894736842105263,0.8444444444444444,0.7857142857142857,0.8202247191011236,0.44,1.0
0.8618421052631579,0.7828947368421053,0.7894736842105263,0.874251497005988,0.7724137931034483,0.7808219178082192,1.0,1.0
0.8355263157894737,0.7368421052631579,0.743421052631579,0.8520710059171598,0.7183098591549296,0.7272727272727273,1.0,1.0
0.8355263157894737,0.7631578947368421,0.7828947368421053,0.8587570621468926,0.7662337662337663,0.7898089171974523,1.0,1.0
0.8026315789473685,0.7236842105263158,0.7039473684210527,0.8314606741573034,0.72,0.7019867549668874,0.95,1.0
0.8223684210526315,0.75,0.743421052631579,0.847457627118644,0.7710843373493976,0.7692307692307693,1.0,1.0
0.8092105263157895,0.756578947368421,0.7763157894736842,0.8465608465608465,0.7932960893854749,0.7901234567901234,0.44,1.0
