MSE_lr,MSE_unweight,MSE_weight,spearman_lr,spearman_unweighted,spearman_weighted,pearson_lr,pearson_unweighted,pearson_weighted,I_sep_lr,I_sep_bi,I_sep_weighted_bi,violate_r,violate_r_w
0.009312464523549502,0.5235333186510461,0.32619675799171927,0.37066491815866204,0.3194733310294438,0.3066910825479596,0.3831758309562448,0.3249473091885781,0.3096063986833484,0.10358070605271559,0.030825369542519594,0.02325405562745694,1.0,0.95
0.009001838631045821,0.5748233982562803,0.2746093360688625,0.3790448402565491,0.3027242646930008,0.3050479371640148,0.3871935470434104,0.3053185162118336,0.3089860407518969,0.1150137564343925,0.035820002496148966,0.025111577183183492,1.0,0.87
0.009114054879313903,0.18245997856734422,0.4231398707846354,0.37199859444016253,0.30708354551544503,0.31146914901415806,0.3789575048470223,0.3104975240624618,0.3123493247905106,0.10605852396350629,0.033945976169105316,0.02291022861206498,1.0,0.81
0.00899047269997465,0.12796034008246696,0.14617696317796694,0.3803554916072392,0.31453402538457464,0.3081517676349523,0.39242379285157164,0.32197377276575667,0.3170136350305756,0.125155648134155,0.042880707438773584,0.030982406066276943,1.0,0.75
0.009074510515389165,0.5642172308358893,0.402547313446864,0.37800519428266766,0.2815376368142978,0.2923017063780019,0.38398500274098823,0.28031438433704203,0.2954489922153215,0.1213892138347402,0.03833561211457338,0.034505205493999554,1.0,0.74
0.009004035604441647,0.2258070598689725,0.10326870429488796,0.3782718029464213,0.2916470936397693,0.309161595958111,0.38609888960827765,0.2973133526110004,0.313449940976982,0.09885963283348631,0.03804396489012481,0.021743770550967954,1.0,0.50
0.009098216530188611,0.20171367280385083,0.08877202487457848,0.3695227989332492,0.30051345799126056,0.2846942240354959,0.3847709206939752,0.3094668728504941,0.2984527746421335,0.11813870718282031,0.052554241093638966,0.03710620426596035,1.0,0.33
0.009075873550123417,0.41675240857005613,0.35884953806007547,0.37759885244333363,0.3040817960795145,0.31052341388017274,0.387610584112911,0.3088431706990351,0.3161343392497604,0.11266854561906031,0.031419024419586966,0.014722460507077996,1.0,0.22
0.009159278953296934,0.08793446771344221,0.09598378802742044,0.36850507375591546,0.30985612836120957,0.3164280441597416,0.3735018519033089,0.3120570698959115,0.31609372158041205,0.12109041074620058,0.05722404650436163,0.05223899187945603,1.0,0.20
0.009155390552326248,0.48350137095071327,0.6019062085724155,0.3724330973857982,0.31032513202831596,0.3155053909624894,0.37835373084414764,0.31089043918666825,0.31370176201389804,0.11660490344011967,0.035025745661110316,0.010570101092006512,1.0,0.14
