MSE_lr,MSE_unweight,MSE_weight,spearman_lr,spearman_unweighted,spearman_weighted,pearson_lr,pearson_unweighted,pearson_weighted,I_sep_lr,I_sep_bi,I_sep_weighted_bi,violate_r,violate_r_w
0.019929962668731073,0.39701396457895427,0.32958245338956244,0.7912259373062143,0.8127278126083979,0.7717579881508039,0.7992408280975293,0.7557756866438039,0.702857470378997,0.07897439620792103,0.047992952005771757,0.0034485329489133414,1.0,0.87
0.019333515860564497,0.3373954147893083,0.31125363917451543,0.8093045606167341,0.8146894957302632,0.7765141096515392,0.7947516270313901,0.7427840115163822,0.7096266091710068,0.1465674301777083,0.052719241676873314,0.00215494313819721,1.0,0.22
0.020185604745508665,0.3478396349022559,0.48672332465481,0.8114027727965597,0.8052959195332801,0.7707211678979755,0.8002681953146853,0.7358811880413603,0.7025659029393037,0.09230908062377677,0.03473983682771438,0.0011288927996702905,1.0,0.29
0.020777505575898723,0.3911327533946628,0.39586669884434283,0.7823750918109977,0.8179308205047314,0.7661904328347143,0.7839605179937494,0.7537328341331722,0.6848913944422976,0.08392503537083934,0.03620683771458988,0.00021287091689763072,1.0,0.47
0.020009327601175922,0.6464248512284549,0.6237718498096523,0.7904421967368428,0.815102798608793,0.7463140738221273,0.7695001998252946,0.7358238686544087,0.6500014618126961,0.08128166820214376,0.06618238078508482,0.0027656267048253454,1.0,0.32
0.02259500574206436,0.6195788556676265,1.0823440230682297,0.7948152030565976,0.8182954602720169,0.7803325418468614,0.7770306791976195,0.7510537242446313,0.7105485366914462,0.07425173399952213,0.051276231151225767,0.0010580012214588582,1.0,0.18
0.022179547508909797,0.622670556497088,0.50263743283782,0.7932890634613883,0.8257873393036784,0.786868238617491,0.7765065040759549,0.7580433481363085,0.7248464004072543,0.10148995586619261,0.06052350610562599,0.001054675295080487,1.0,0.07
0.022567596375993742,0.5062047734998296,0.5190075522235031,0.786354266017304,0.8135340893219772,0.7709449055596509,0.7698444013329534,0.7293427742785433,0.6838032594877883,0.07678044837861825,0.03224236362834046,0.0006673008881059767,1.0,0.67
0.02105486506346361,0.5423775588982981,0.7450583301447716,0.8056992715406133,0.817151549085633,0.7701956043277097,0.7813713186946115,0.7362738357210765,0.68642112842742,0.07305999502899233,0.03105238037547979,0.00025223086953355523,1.0,0.47
0.022696252659707445,0.3721626685729749,0.5160264113357927,0.80151249393066,0.8189353342593,0.7841834414592879,0.7712400019770689,0.7459628264098612,0.7116472217000498,0.10687222560753273,0.028875234971756952,0.0005608679010464829,1.0,0.33
