weight_formula, fairness_lambda, MSE_lr, MSE_unweight       , MSE_weight        , MSE_fairreg, spearman_lr, spearman_unweighted, spearman_weighted , spearman_fairreg, pearson_lr, pearson_unweighted, pearson_weighted  , pearson_fairreg, I_sep_lr, I_sep_bi             , I_sep_weighted_bi     , I_sep_fairreg_bi, violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
eq15          ,             0.1,       ,  5.1825867896132936,  4.676411159752236,            ,            ,  0.6265816944007858, 0.6483866320553517,                 ,           , 0.5830447342542099, 0.6117441797006908,                ,         , 0.02788970034987094  , 0.01479897431900111   ,                 ,       1.0,               1.0 ,                  ,           0.56,             0.44, 
eq15          ,             0.1,       , 10.02020532908669  , 10.109644723770982,            ,            ,  0.6459947759323186, 0.667187074937222 ,                 ,           , 0.6138212857828019, 0.651559432784954 ,                ,         , 0.02078103470422312  , 0.0016596211439236987 ,                 ,       0.0,               0.03,                  ,           0.51,             0.23, 
eq15          ,             0.1,       , 10.732694568994102 , 10.351760048248524,            ,            ,  0.6548520597327883, 0.6507965748668043,                 ,           , 0.62211900308791  , 0.6016859631394337,                ,         , 0.02645413779103476  , 4.021270671558255e-05 ,                 ,       0.0,               0.0 ,                  ,           0.6 ,             0.11, 
eq15          ,             0.1,       , 10.03648532056507  , 10.075362578593404,            ,            ,  0.6827666593266822, 0.6561552096043238,                 ,           , 0.6354745445839669, 0.6245438206010464,                ,         , 0.009192954622851097 , 0.001763802966344922  ,                 ,       0.0,               0.0 ,                  ,           0.31,             0.13, 
eq15          ,             0.1,       ,  4.60816898864356  ,  5.144251035475571,            ,            ,  0.6401307846433777, 0.6872679482122757,                 ,           , 0.6153319122967222, 0.6571278192788084,                ,         , 0.011519500297229557 , 0.011978468965993954  ,                 ,       1.0,               1.0 ,                  ,           0.67,             0.31, 
eq15          ,             0.1,       , 10.002370120486646 , 10.128682439518146,            ,            ,  0.6217744060984911, 0.6140987266538266,                 ,           , 0.5643258493070081, 0.5656846352039651,                ,         , 0.004655506987877118 , 0.0005224382342360057 ,                 ,       0.0,               0.0 ,                  ,           0.29,             0.1 , 
eq15          ,             0.1,       ,  4.909175162577796 ,  9.944860997192045,            ,            ,  0.6764841143770614, 0.6428728963885229,                 ,           , 0.6387384118822885, 0.6124163973117767,                ,         , 0.007172639480931316 , 0.00014569676973080544,                 ,       1.0,               0.0 ,                  ,           0.55,             0.16, 
eq15          ,             0.1,       , 10.219840647538508 , 10.336759975778657,            ,            ,  0.6657438817907467, 0.6769605687366019,                 ,           , 0.6464056410234924, 0.6426915249783118,                ,         , 0.0023901289469656045, 0.002225111300168091  ,                 ,       0.0,               0.0 ,                  ,           0.17,             0.16, 
eq15          ,             0.1,       , 10.477534214651781 , 10.462757473504471,            ,            ,  0.6253172858168463, 0.6422265589144762,                 ,           , 0.6068059249903166, 0.6099684167433528,                ,         , 0.00492959264579545  , 0.004524966495661514  ,                 ,       0.0,               0.0 ,                  ,           0.27,             0.28, 
eq15          ,             0.1,       , 10.201427897351989 , 10.30281462376896 ,            ,            ,  0.6544355668859861, 0.6561374990346993,                 ,           , 0.6099678754340898, 0.6261108082942154,                ,         , 0.016448285719956046 , 2.6009002488197817e-07,                 ,       0.0,               0.0 ,                  ,           0.35,             0.13, 
