# of comparisons,AOD_comp,Within_comp,EOD_comp
3150.0,-0.0742160278745645,0.04338433843384337,-0.03083168944072112
3150.0,-0.08409526297457331,0.04223847019122609,-0.041856792783347224
3150.0,-0.0875556104794859,0.05683697356270001,-0.03071863691678589
3150.0,-0.10107766629505757,0.019624736065307485,-0.08145293022975009
3150.0,-0.06825523331264458,0.048787170834414945,-0.01946806247822963
3150.0,-0.08161616850141443,0.044496844964676846,-0.03711932353673758
3150.0,-0.079869241565548,0.04713966703582001,-0.032729574529727995
3150.0,-0.08209644730567478,0.020752406688059444,-0.061344040617615336
3150.0,-0.07602507209824516,0.021566316926175055,-0.054458755172070106
3150.0,-0.10231455486929938,0.03094303981400759,-0.0713715150552918
3150.0,-0.08371212852765077,0.03757699645162309,-0.04613513207602767
0.0,0.010356084885527032,0.01263764207321684,0.019097407512651945
