fairness_lambda, num_comp_pairs_eval, MSE_lr               , MSE_unweight       , MSE_weight         , MSE_fairreg, spearman_lr       , spearman_unweighted, spearman_weighted , spearman_fairreg, pearson_lr          , pearson_unweighted, pearson_weighted  , pearson_fairreg, I_sep_lr             , I_sep_bi            , I_sep_weighted_bi     , I_sep_fairreg_bi, violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
            0.1,                  20, 0.016060634055632836 , 0.2524531314588514 , 0.3710067767990253 ,            , 0.8253311189624627,  0.8052314956638885, 0.75709491451681  ,                 , 0.8176111992884554  , 0.7455685368705248, 0.6830149816224714,                , 0.06340724713410527  , 0.030534032642681952, 0.0006037597934034242 ,                 ,       1.0,               1.0 ,                  ,           0.86,             0.88, 
            0.1,                  20, 1.17751935704751e+18 , 0.4185249909745264 , 0.593615897216245  ,            , 0.8023105410053029,  0.8211361907445514, 0.7703448011207311,                 , -0.12862143364896253, 0.739863070623282 , 0.6809776365610636,                , 0.0004806809328523333, 0.03870307262196538 , 0.000980850241594495  ,                 ,       1.0,               1.0 ,                  ,           0.92,             0.88, 
            0.1,                  20, 0.01896397087843528  , 0.2046466661565078 , 0.23590913731676347,            , 0.8538090811655702,  0.832484347693741 , 0.8187447109148129,                 , 0.8198521117683515  , 0.7422988175739407, 0.7201770681552097,                , 0.13834898605556917  , 0.06382692283803314 , 0.007971583460345438  ,                 ,       1.0,               1.0 ,                  ,           0.83,             0.66, 
            0.1,                  20, 0.018648331186694657 , 0.41357890647162476, 0.5697586258983641 ,            , 0.8348671373199352,  0.8298585649972238, 0.7685464804789368,                 , 0.8068951944624453  , 0.7409483504430991, 0.6701884476549045,                , 0.10684420188954949  , 0.0385787587056795  , 1.4889210096676812e-05,                 ,       1.0,               0.99,                  ,           0.94,             0.85, 
            0.1,                  20, 0.019092298875652048 , 0.2722471855859678 , 0.48789735203249   ,            , 0.8032519153919911,  0.8127554778390067, 0.7832187088819469,                 , 0.8061928302625578  , 0.7431629711619658, 0.7076972890082504,                , 0.10464581016806557  , 0.06886273798305007 , 0.006063826735232743  ,                 ,       1.0,               1.0 ,                  ,           0.84,             0.79, 
            0.1,                  20, 0.018091686127817697 , 0.37180671914230484, 0.38205051481387353,            , 0.8210069397995714,  0.7978724435139426, 0.7642923020444744,                 , 0.8064412649965798  , 0.7250843857668281, 0.695104073524031 ,                , 0.13374317308534742  , 0.04817184584690785 , 0.0011914992158861984 ,                 ,       1.0,               1.0 ,                  ,           0.88,             0.83, 
            0.1,                  20, 4.255581668327362e+18, 0.23866599422353413, 0.31178636168832546,            , 0.7753575739545349,  0.7972887358794911, 0.7616605784016753,                 , 0.12703034967539517 , 0.7292840839440929, 0.6998032555924256,                , 0.0006219774808918193, 0.022968123339670455, 0.0006911230295523379 ,                 ,       1.0,               1.0 ,                  ,           0.87,             0.83, 
            0.1,                  20, 0.01936264380981941  , 0.22999834760362253, 0.3069471162579812 ,            , 0.810521390460142 ,  0.847479444486053 , 0.7916247759352574,                 , 0.8208273305389592  , 0.7796435430782178, 0.7011351306319892,                , 0.09167409847707655  , 0.034400058598893675, 2.570813702133372e-05 ,                 ,       1.0,               1.0 ,                  ,           0.78,             0.74, 
            0.1,                  20, 0.023574254263720073 , 0.5700918990474748 , 0.42917392527264536,            , 0.8222175242259908,  0.8228197116499651, 0.7698178637890017,                 , 0.7578894101656537  , 0.7199803475213712, 0.6844991369516531,                , 0.12189662460727826  , 0.06249263550480926 , 0.004929624791587968  ,                 ,       1.0,               1.0 ,                  ,           0.8 ,             0.73, 
            0.1,                  20, 0.02144895413317275  , 0.2052621785131162 , 0.22128988871421434,            , 0.8368486816435917,  0.8509918150756748, 0.8135041292865414,                 , 0.8121974095659961  , 0.7574324785234929, 0.7355170950806001,                , 0.08494335154244786  , 0.02316177938561018 , 0.00013441317616461512,                 ,       1.0,               1.0 ,                  ,           0.85,             0.81, 
