weight_formula, fairness_lambda, MSE_lr              , MSE_unweight       , MSE_weight         , MSE_fairreg       , spearman_lr        , spearman_unweighted, spearman_weighted  , spearman_fairreg   , pearson_lr         , pearson_unweighted , pearson_weighted   , pearson_fairreg    , I_sep_lr           , I_sep_bi            , I_sep_weighted_bi   , I_sep_fairreg_bi    , violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
eq15          ,             0.1, 0.009062997536475185, 0.6172899063148876 , 0.7044398639043058 , 0.8413655948814545, 0.3734127635184895 , 0.32981760522066267, 0.34011096739232327, 0.33479034301594607, 0.381484733437092  , 0.3335992294498187 , 0.3410872500146808 , 0.3359695998347736 , 0.1211487568859429 , 0.03666150816600166 , 0.01974481328773383 , 0.021049777143465176,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.009070025959872248, 0.7769455014116429 , 0.7241486299701018 , 0.4718225060029392, 0.36724319836279384, 0.3047760593798701 , 0.3118109859228586 , 0.4004752247917162 , 0.37376175719877286, 0.3042039604087013 , 0.3142320462453567 , 0.39615239259413343, 0.09140541478166068, 0.023497086732116063, 0.011536175353725246, 0.012989510900737272,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.009153158351963241, 0.5283203108252756 , 0.5533190913683721 , 0.8053108321132874, 0.3721600514382066 , 0.3851968976359454 , 0.4182438342326845 , 0.3416788161409661 , 0.3799719463214968 , 0.38742164455104783, 0.41584373033786604, 0.3437157650201398 , 0.09964484810702057, 0.026246050256233618, 0.005182841858269588, 0.026194525803445223,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.008970033987860069, 0.4719652750588311 , 0.5903500183156527 , 0.3739849661854086, 0.37823280604044823, 0.41640382564949585, 0.382553976565721  , 0.328285703758047  , 0.3881091017306951 , 0.4133304792935683 , 0.3833985445642478 , 0.32873943178455145, 0.1345454397063248 , 0.02919872381746781 , 0.012042783450572806, 0.028842911775873715,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.008990927662801573, 0.579248622873489  , 0.27281490456857815, 0.6267756682543467, 0.3752936582531903 , 0.416896393941823  , 0.3112136988320775 , 0.3824919885043401 , 0.38513518785375433, 0.41631673171197514, 0.31335877708168935, 0.3801225469807714 , 0.10692861939364302, 0.018954707386290272, 0.01818324892126619 , 0.018933467818216435,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.009236318705424053, 0.48336376712966905, 0.6114566699212283 , 0.9371523565437659, 0.371730740876745  , 0.4165123809336047 , 0.3255352745004586 , 0.33385873824223733, 0.3784681941220892 , 0.4141987343898409 , 0.31904358455390136, 0.32970207168399435, 0.10420191401062864, 0.015693423732656916, 0.008506821796682607, 0.018672168413353493,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.009178860077502212, 0.4528449105200296 , 0.7180439587068096 , 0.8346684290220064, 0.3688164876879246 , 0.3193241190595705 , 0.32583023376913745, 0.33015580798096916, 0.37785420127380065, 0.3207447922621972 , 0.3228893598193648 , 0.32879128361520643, 0.14261175297135326, 0.041048865057851845, 0.024637850936274415, 0.03339904773081903 ,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.008949832406935124, 0.7361952215908358 , 0.6731388330301306 , 0.8196567034106444, 0.37937273252432485, 0.37564423957068765, 0.34182727128982315, 0.3838761309329441 , 0.3898435442466531 , 0.37836980369065043, 0.3414337616036388 , 0.38741688932873536, 0.10391130348621057, 0.031063458767918183, 0.021066768408887347, 0.02967383790634459 ,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.009061635935979808, 0.620309471799134  , 0.5240598667763754 , 0.710073678337771 , 0.3733337918114733 , 0.39698757372345655, 0.34980919992048826, 0.36333455665438164, 0.38245514012164206, 0.3918363208479254 , 0.34659499138379984, 0.36190911877790627, 0.10101552798217846, 0.02332867551635816 , 0.010922230702761077, 0.020159907040619634,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
eq15          ,             0.1, 0.009110266843244522, 0.684420256435055  , 0.894445588752068  , 0.7095284036387671, 0.36175598509265977, 0.36384470095271376, 0.3809675270353229 , 0.3313126626125558 , 0.3654924851204173 , 0.3586993302342702 , 0.37523183527855053, 0.3328033815748597 , 0.12504414637581285, 0.04219584782610113 , 0.010574319165719158, 0.03147250105135576 ,       1.0,                1.0,               1.0,            1.0,              1.0,                    1.0
