MSE_lr              , MSE_unweight       , MSE_weight         , spearman_lr        , spearman_unweighted, spearman_weighted  , pearson_lr         , pearson_unweighted , pearson_weighted   , I_sep_lr           , I_sep_bi            , I_sep_weighted_bi   , violate_r, violate_r_weighted, violate_comp_r, violate_comp_r_w
0.008967398007108149, 0.21516991605094854, 0.5506284714804199 , 0.364007882899576  , 0.2842346097756457 , 0.3090297231135049 , 0.36969982209508145, 0.2896407652768984 , 0.30887863347704214, 0.1116573866846675 , 0.04358429368267003 , 0.023514933803482522,      1.0 ,               0.03,            1.0,             0.95
0.009113269157350879, 0.3652144940077982 , 0.38234163925514325, 0.36874763650450104, 0.29819832046529243, 0.30737653424251615, 0.3773039337171018 , 0.2963369143380638 , 0.30729934951061033, 0.12547849384333934, 0.03174355511902603 , 0.017188005958228458,      0.0 ,               0.06,            1.0,             0.87
0.009055146391653966, 0.34079109133108193, 0.5329486077832505 , 0.37739663402806184, 0.30162282015256536, 0.3209268352945322 , 0.3871756197138072 , 0.30788039321194327, 0.3244690861637891 , 0.1047864747132028 , 0.034273187986341075, 0.01448119688790659 ,      0.0 ,               0.0 ,            1.0,             0.81
0.009023505698511732, 0.5693189260494023 , 0.3876441661617761 , 0.3833207810252794 , 0.32630286351020243, 0.38080023301000987, 0.3891162167812148 , 0.32579006602549393, 0.37572097019981887, 0.12130367975463989, 0.02935384493454578 , 0.005365589811106695,      0.05,               0.99,            1.0,             0.75
0.009162293365589323, 0.964950836408368  , 0.7354684294915225 , 0.3838991288071318 , 0.32328938741808133, 0.32314529581296364, 0.389641924865671  , 0.32252780162943306, 0.3197727916560127 , 0.11591773728785092, 0.03180479101777822 , 0.020499256142105543,      0.0 ,               0.0 ,            1.0,             0.74
0.009137362458053688, 0.5378897948330343 , 0.6451034792848606 , 0.3818331880052484 , 0.2885543545350264 , 0.31440323617123317, 0.38868950125543034, 0.2908599008417884 , 0.31621990713878767, 0.10374832821881405, 0.038284240104109954, 0.019876315314843258,      0.01,               0.01,            1.0,             0.50
0.00921400494128048 , 0.6213352118083185 , 0.4580285308412144 , 0.36304812258961566, 0.2950907348998027 , 0.36180646767089464, 0.37349798802410017, 0.29619456303411607, 0.36033901939894813, 0.11124068098733103, 0.03277421712916172 , 0.015816684038206155,      0.0 ,               0.49,            1.0,             0.33
0.009054070830936501, 0.289546734188157  , 0.40052747977223424, 0.36689241084050794, 0.3204906066246848 , 0.33686061807837475, 0.3783060212804862 , 0.3243994964185619 , 0.34064680161983873, 0.11867031421453465, 0.033887725389233   , 0.01966337472120676 ,      1.0 ,               0.97,            1.0,             0.22
0.00919923801134931 , 0.36555166332010636, 0.7325210667178748 , 0.37387166060392507, 0.31199550899311157, 0.31243465650250635, 0.37903364407816253, 0.3155745938161349 , 0.31317115247179184, 0.10761325384195602, 0.04162725786383468 , 0.025459122261190747,      0.0 ,               0.0 ,            1.0,             0.20
0.009056513815270492, 0.6938712105988192 , 0.710335717645083  , 0.3740120341693654 , 0.32177222612593614, 0.3183414520215807 , 0.38495463512712447, 0.32725885015686884, 0.3236696540637033 , 0.0944693924643652 , 0.03558433732847294 , 0.019754745472981394,      0.11,               0.11,            1.0,             0.14
