# of comparisons,AOD_comp,Within_comp,EOD_comp
1220.0,0.08482854864433813,-0.1494565217391305,-0.06462797309479236
1220.0,0.10837959291567541,-0.14435695538057747,-0.03597736246490206
1220.0,0.06956335616438358,-0.15670650730411684,-0.08714315113973325
1220.0,0.09680663816947449,-0.15740740740740744,-0.06060076923793295
1220.0,0.050069300069300014,-0.16402116402116407,-0.11395186395186405
1220.0,0.06943685073810822,-0.15587846763540292,-0.0864416168972947
1220.0,0.07847222222222214,-0.16141732283464572,-0.08294510061242358
1220.0,0.07041567438839584,-0.15712383488681758,-0.08670816049842174
1220.0,0.06198127261119387,-0.16555407209612816,-0.10357279948493428
1220.0,0.072051282051282,-0.1521164021164021,-0.0800651200651201
1220.0,0.07620047379743737,-0.15640386554217928,-0.08020339174474192
0.0,0.016016291019834324,0.006168900471211207,0.02098764053483581
