fairness_lambda, num_comp_pairs_eval, MSE_lr              , MSE_unweight       , MSE_weight         , MSE_fairreg, spearman_lr        , spearman_unweighted, spearman_weighted  , spearman_fairreg, pearson_lr         , pearson_unweighted , pearson_weighted   , pearson_fairreg, I_sep_lr           , I_sep_bi            , I_sep_weighted_bi   , I_sep_fairreg_bi, violate_r, violate_r_weighted, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_fairreg
            0.1,                  42, 0.009122486228157608, 0.5857670456185942 , 0.30031091089003337,            , 0.3881518798431546 , 0.34617492456512006, 0.33945664800768816,                 , 0.3932581017649363 , 0.34088650648087415, 0.3405618275162374 ,                , 0.12429523800156038, 0.03247764442556112 , 0.01695264206770987 ,                 ,       1.0,                1.0,                  ,           0.9 ,             0.88, 
            0.1,                  42, 0.009213247373047162, 0.46753004885773614, 0.8436519605202332 ,            , 0.3864853669515433 , 0.3370071407882625 , 0.36653197657281344,                 , 0.39764901657176266, 0.33485037802602735, 0.3616393042920886 ,                , 0.11525891097563458, 0.03089932804741496 , 0.015570249330236626,                 ,       1.0,                1.0,                  ,           0.9 ,             0.91, 
            0.1,                  42, 0.009687452671556917, 0.3733961819464576 , 0.6124867502161377 ,            , 0.3492572284691574 , 0.29138014183665706, 0.2887264365528974 ,                 , 0.3579616535870307 , 0.29433132666610545, 0.29432300487243945,                , 0.09938672886881345, 0.03137770774742481 , 0.02000286408914723 ,                 ,       1.0,                1.0,                  ,           0.87,             0.84, 
            0.1,                  42, 0.009306485517448362, 0.6897688208594042 , 0.6506484319823703 ,            , 0.3639361093666351 , 0.3723417658763213 , 0.3213072670488307 ,                 , 0.3715673081002177 , 0.37400598326607115, 0.3191750804837408 ,                , 0.11468146296857469, 0.025264025077730626, 0.022009212250142445,                 ,       1.0,                1.0,                  ,           0.92,             0.89, 
            0.1,                  42, 0.009210412318243327, 0.7473140997878176 , 0.39877310261387566,            , 0.3644763138838892 , 0.3228258131194434 , 0.29566421720438407,                 , 0.37098519812190756, 0.32263455588727596, 0.29934249092467535,                , 0.11808071774817758, 0.03067808148399951 , 0.025372937277679974,                 ,       1.0,                1.0,                  ,           0.9 ,             0.91, 
            0.1,                  42, 0.008981424471034862, 0.6995325883044374 , 0.610033027203457  ,            , 0.3900117965698503 , 0.3504409322953093 , 0.35042006198887476,                 , 0.39265933292247657, 0.34484519710303607, 0.347485273703612  ,                , 0.09220059890598886, 0.018328366873495927, 0.01524433963233341 ,                 ,       1.0,                1.0,                  ,           0.86,             0.85, 
            0.1,                  42, 0.008770209657669253, 0.3533179839961782 , 0.4181508533478241 ,            , 0.3956387938471708 , 0.3432507202256456 , 0.32217876109173754,                 , 0.39931029757751846, 0.3396263017938381 , 0.32311578921996364,                , 0.12927083572677098, 0.03931352458585314 , 0.021479184744126793,                 ,       1.0,                1.0,                  ,           0.9 ,             0.89, 
            0.1,                  42, 0.009219656713231996, 0.5342163827478951 , 0.5735362141424145 ,            , 0.3840844091218939 , 0.38174082944994775, 0.32575310328106716,                 , 0.3940455885961482 , 0.38794607386232327, 0.3294342988191495 ,                , 0.11293214301556452, 0.029639659368672112, 0.01969497197470489 ,                 ,       1.0,                1.0,                  ,           0.93,             0.93, 
            0.1,                  42, 0.00930506241981464 , 0.8058483410695628 , 0.7490711034383981 ,            , 0.3818673762847784 , 0.3120193945977071 , 0.3215340985651445 ,                 , 0.38668260384278724, 0.308892287211203  , 0.3182386430717493 ,                , 0.0985052161838352 , 0.028011666035637418, 0.017394815927489524,                 ,       1.0,                1.0,                  ,           0.94,             0.93, 
            0.1,                  42, 0.009076177872428239, 0.4129735016067516 , 0.5713974519858045 ,            , 0.38509447197153107, 0.3285575506544913 , 0.3732357658476011 ,                 , 0.38324319079156477, 0.3250846318153242 , 0.36591461503086875,                , 0.11729943980119428, 0.03596742862227565 , 0.010688175177791788,                 ,       1.0,                1.0,                  ,           0.96,             0.93, 
