weight_formula,Acc_lr,Acc_unweight,Acc_weighted,F1_lr,F1_unweight,F1_weighted,AOD_lr,AOD_unweight,AOD_weighted,EOD_lr,EOD_unweight,EOD_weighted,I_sep_lr,I_sep_bi,I_sep_weighted_bi,violate_r,violate_r_weighted,violate_comp_r,violate_comp_r_w
eq15,0.8026315789473685,0.7697368421052632,0.7631578947368421,0.8295454545454546,0.7928994082840237,0.7857142857142857,0.01802503052503046,0.08601953601953605,0.12277167277167278,-0.10085470085470094,0.052991452991452914,0.1264957264957265,0.0003976313426412277,0.0031720514773144353,0.008732237822661795,0.3,0.33,0.24,0.37
eq15,0.7960526315789473,0.8092105263157895,0.7697368421052632,0.8248587570621468,0.8284023668639053,0.7878787878787878,-0.10562339689974354,0.026112412177985878,0.010159473625515836,-0.12244897959183676,-0.07619047619047625,-0.1244897959183674,0.008040719684915243,1.312836957790255e-05,0.0004929853840119205,0.3,0.34,0.39,0.52
eq15,0.8881578947368421,0.8421052631578947,0.8223684210526315,0.8982035928143712,0.8571428571428571,0.8402366863905325,-0.10161342894393743,-0.030215123859191673,-0.025765971316818903,-0.125,-0.050000000000000044,-0.07500000000000007,0.012494671584389353,0.0010261739436169782,0.001187544645823823,0.18,0.19,0.14,0.19
eq15,0.8486842105263158,0.7631578947368421,0.8092105263157895,0.8606060606060606,0.7857142857142857,0.8242424242424242,-0.0697866344605475,0.039231078904992,0.11652576489533012,-0.1858695652173914,-0.01413043478260867,0.02934782608695652,0.010342444139418185,0.00021473480195726224,0.004750145837084437,0.25,0.85,0.15,0.56
eq15,0.8618421052631579,0.7631578947368421,0.7697368421052632,0.8695652173913043,0.7906976744186046,0.7953216374269005,-0.015056022408963532,-0.015321280027162376,0.028881249469484782,-0.1296791443850267,-0.12299465240641705,-0.018716577540106916,0.002371647358416935,0.001530844321554463,8.846536043903876e-05,0.26,0.16,0.29,0.24
eq15,0.8289473684210527,0.7960526315789473,0.8421052631578947,0.8470588235294118,0.8143712574850299,0.8554216867469879,-0.09385964912280698,-0.048629385964912286,0.07384868421052626,-0.16666666666666663,-0.09375,-0.03125,0.009338476891704434,0.00226150038257351,0.0018874876199130488,0.18,0.44,0.17,0.63
eq15,0.8552631578947368,0.7368421052631579,0.7302631578947368,0.8764044943820225,0.7402597402597403,0.7354838709677419,-0.16319869441044466,0.020535835713314354,-0.035019719842241226,-0.18604651162790697,-0.023255813953488302,-0.023255813953488302,0.02481465875432361,9.130123557772668e-17,0.0004389104570077566,0.38,0.18,0.18,0.13
eq15,0.8223684210526315,0.7697368421052632,0.7302631578947368,0.8439306358381503,0.7712418300653595,0.7210884353741497,-0.007280118255727941,0.06542867701404287,0.09148189209164809,-0.0842572062084257,0.0687361419068736,0.12084257206208415,0.0008905714859652334,0.002677514342095731,0.005886972344636149,0.29,0.32,0.23,0.29
eq15,0.7828947368421053,0.7302631578947368,0.8157894736842105,0.8114285714285714,0.7453416149068323,0.8333333333333334,-0.0616853654512457,0.0829552329098609,0.1241750536215146,-0.2009569377990431,0.03947368421052633,-0.027511961722488043,0.007465466960478323,0.0023463893846046397,0.003486380891806634,0.22,1.0,0.23,0.81
eq15,0.8947368421052632,0.7894736842105263,0.8421052631578947,0.9058823529411765,0.7894736842105263,0.85,-0.16650197628458496,0.04911067193675889,-0.00607327455153539,-0.17391304347826086,0.07246376811594202,-0.03790412486064654,0.03200697191250128,0.0021519869212857463,0.00024264189000740383,0.15,0.17,0.2,0.2
