Acc_lr,Acc_unweight,Acc_weighted,F1_lr,F1_unweight,F1_weighted,AOD_lr,AOD_unweight,AOD_weighted,EOD_lr,EOD_unweight,EOD_weighted,I_sep_lr,I_sep_bi,I_sep_weighted_bi,violate_r,violate_r_weighted,violate_comp_r,violate_comp_r_w
0.6168582375478927,0.5900383141762452,0.5593869731800766,0.6794871794871795,0.6514657980456026,0.6048109965635738,0.11129523661804863,-0.16813354214461007,-0.05080674326421408,0.0019305019305019266,-0.17098731384445676,-0.07004964147821291,0.006504786249245037,0.013751240613829603,0.0011247129669052468,0.44,0.05,0.4,0.15
0.6436781609195402,0.6015325670498084,0.5632183908045977,0.7084639498432602,0.6829268292682927,0.6369426751592356,0.015456374611304113,-0.17812720478716448,-0.10226537798217872,-0.032467532467532534,-0.14146567717996283,-0.06632653061224492,0.00011066274007679143,0.018236207671445424,0.005236823732787159,0.57,0.14,0.52,0.26
0.6398467432950191,0.6360153256704981,0.6091954022988506,0.7025316455696202,0.7076923076923077,0.6890243902439024,0.12575572117651335,-0.09365819823740607,-0.07150790628513404,0.017079207920792094,-0.08292079207920788,-0.1027227722772277,0.007993819157040099,0.004853125119389383,0.0028836861543168222,0.13,0.18,0.19,0.1
0.6091954022988506,0.5823754789272031,0.6015325670498084,0.6890243902439024,0.658307210031348,0.6601307189542484,0.13465224313130442,-0.09068466188231494,-0.07560400368154618,0.1707547169811321,-0.07688679245283025,-0.11462264150943402,0.009795094488056945,0.0039363561898843194,0.002786532764839547,0.11,0.12,0.26,0.16
0.5862068965517241,0.5862068965517241,0.5708812260536399,0.6582278481012658,0.6707317073170732,0.6666666666666666,0.12520032481404408,-0.17662339339499133,-0.16688636269573887,0.145158083117916,-0.16623583217339433,-0.1475442433883476,0.007773818924341123,0.015387067230577332,0.014065173142064924,0.45,0.41,0.38,0.44
0.5823754789272031,0.5670498084291188,0.5632183908045977,0.6495176848874598,0.6523076923076923,0.6524390243902439,0.11250000000000004,-0.1607142857142857,-0.142063492063492,0.02857142857142858,-0.19047619047619047,-0.18095238095238086,0.0054766297310196365,0.013493124709904885,0.010823543897085059,0.6,0.5,0.37,0.3
0.6168582375478927,0.5670498084291188,0.5670498084291188,0.6932515337423313,0.6435331230283912,0.6523076923076923,0.27660430389323104,-0.0469770121730303,-0.0066399036627622365,0.2537511032656663,-0.04766107678729037,0.023609885260370667,0.03985723402366345,0.0010407928823950453,4.50485913744078e-06,0.04,0.03,0.24,0.18
0.6743295019157088,0.4367816091954023,0.3946360153256705,0.7249190938511327,0.43243243243243246,0.368,0.16946232896156244,0.10990802248339293,0.13575200136262988,0.1613807982740021,0.1605177993527508,0.15922330097087378,0.014827982436519853,0.006004096949848501,0.009099259335184523,0.34,0.34,0.38,0.4
0.5977011494252874,0.578544061302682,0.5708812260536399,0.6579804560260586,0.65625,0.65,0.08068962329639207,-0.13502281360863155,-0.14988218201352776,0.14985994397759106,-0.11344537815126055,-0.1568627450980392,0.003371258892008199,0.009219332684649901,0.011530215430088244,0.27,0.41,0.44,0.37
0.6590038314176245,0.5747126436781609,0.5517241379310345,0.7311178247734139,0.6476190476190476,0.6309148264984227,-0.07225380685233418,-0.18119824016563146,-0.19542635076470982,-0.09813664596273286,-0.21656314699792956,-0.23561076604554865,0.0031910165162327077,0.016925745771228455,0.019771012182311566,0.62,0.74,0.37,0.44
