weight_formula, MSE_lr, MSE_unweight      , MSE_weight       , spearman_lr, spearman_unweighted  , spearman_weighted    , pearson_lr, pearson_unweighted    , pearson_weighted      , I_sep_lr, I_sep_bi              , I_sep_weighted_bi     , violate_r, violate_r_weighted, violate_comp_r, violate_comp_r_w
eq15          ,       , 7.655544698516176 , 7.655544698513997,            , 0.007433573986575827 , 0.006431187108470008 ,           , 0.013151338160222282  , 0.012565041852990098  ,         , 3.3238979781716604e-05, 0.00015301353697343002,       0.0,                0.0,           0.06,             0.13
eq15          ,       , 7.844608979767397 , 7.84460897976892 ,            , 0.015576118023769105 , 0.018231424503705258 ,           , 0.017970733168993107  , 0.021625329608097876  ,         , 0.00010999636379762219, 1.0947595728422908e-07,       0.0,                0.0,           0.25,             0.46
eq15          ,       , 7.574824637494235 , 7.574824637494934,            , -0.012754324576357433, -0.012926669363877819,           , -0.0032333502199818915, -0.005215708931746945 ,         , 6.984983197196519e-06 , 8.832305057692956e-08 ,       0.0,                0.0,           0.43,             0.32
eq15          ,       , 7.76134984379113  , 7.761349843791977,            , -0.012049113701470812, -0.015691314290887895,           , -0.0088378781296727   , -0.015034544805881109 ,         , 3.318978571264906e-05 , 0.00011240821807707059,       0.0,                0.0,           0.24,             0.27
eq15          ,       , 7.679179120539091 , 7.679179120539599,            , 0.009212381997586774 , 0.009451708379216729 ,           , 0.01184053028769836   , 0.012124601883590599  ,         , 4.8265028871325835e-05, 2.328195580339232e-06 ,       0.0,                0.0,           0.5 ,             0.28
eq15          ,       , 7.688994251254899 , 7.688994251253607,            , 8.302070918022843e-05, 0.0040883784082086155,           , 0.00957945561278568   , 0.012453936553677221  ,         , 3.756098556769819e-05 , 0.0001404754904854084 ,       0.0,                0.0,           0.14,             0.17
eq15          ,       , 7.851885035524351 , 7.851885035526025,            , 0.017132326714960407 , -0.002058012591217852,           , 0.017609012285279214  , -0.00488159033878509  ,         , 3.142722308186911e-05 , 1.1931934653418991e-05,       0.0,                0.0,           0.36,             0.22
eq15          ,       , 7.721717640753788 , 7.721717640752201,            , -0.013116055265239564, -0.008827872081881854,           , -0.007189823009720726 , -0.008105611350140462 ,         , 6.381896451995466e-05 , 3.253367916823036e-05 ,       0.0,                0.0,           0.25,             0.06
eq15          ,       , 7.675907780138432 , 7.675907780137204,            , -0.016663786553258925, -0.00835924734262224 ,           , -0.010787199799467781 , -0.0046189360544807625,         , 2.2314883667267584e-05, 1.0720448196108329e-05,       0.0,                0.0,           0.15,             0.32
eq15          ,       , 7.9096874070675485, 7.90968740706759 ,            , 0.003153655858915426 , 0.005804425052111553 ,           , 0.003092941186485232  , 0.006813894242084116  ,         , 5.802510059206755e-05 , 0.0001742758673315587 ,       0.0,                0.0,           0.2 ,             0.12
