weight_formula, Acc_lr            , Acc_unweight      , Acc_weighted      , F1_lr             , F1_unweight       , F1_weighted       , AOD_lr                , AOD_unweight           , AOD_weighted         , EOD_lr              , EOD_unweight        , EOD_weighted         , I_sep_lr              , I_sep_bi              , I_sep_weighted_bi     , violate_r, violate_r_weighted, violate_comp_r, violate_comp_r_w
eq15          , 0.6513409961685823, 0.5708812260536399, 0.5823754789272031, 0.7055016181229773, 0.552             , 0.5622489959839357, 0.11121669426463943   , -0.00047041999096797404, -0.026073812032716193, 0.04532967032967028 , -0.10531135531135538, -0.1291208791208791  , 0.0058358601527627955 , 1.9712383833578965e-05, 0.00048346152830227386,      0.16,               0.17,           0.28,             0.33
eq15          , 0.6475095785440613, 0.6130268199233716, 0.5900383141762452, 0.7070063694267515, 0.6217228464419475, 0.6164874551971327, 0.12179781003310408   , -0.0856315253374077    , -0.06668258212375855 , 0.11372549019607847 , -0.0911764705882353 , -0.09656862745098038 , 0.00771565223895402   , 0.003347453332577953  , 0.002024783867146591  ,      0.11,               0.09,           0.3 ,             0.24
eq15          , 0.6206896551724138, 0.6053639846743295, 0.5593869731800766, 0.6796116504854369, 0.6308243727598566, 0.5756457564575646, -0.0035536359065769796, -0.13031845605375014   , -0.12432640888523239 , -0.10470085470085466, -0.20448717948717943, -0.10961538461538461 , 6.771357210740802e-05 , 0.00874667160410191   , 0.006946116722712974  ,      0.54,               0.2 ,           0.53,             0.37
eq15          , 0.6475095785440613, 0.6053639846743295, 0.6015325670498084, 0.7070063694267515, 0.5992217898832685, 0.6060606060606061, 0.3135310907534912    , 0.02926374278267735    , 0.020978964873380745 , 0.2589912280701755  , 0.026535087719298245, -0.004605263157894779, 0.05429167881361179   , 0.0004055256868559691 , 0.0001661001611745499 ,      0.07,               0.06,           0.14,             0.15
eq15          , 0.5823754789272031, 0.578544061302682 , 0.5977011494252874, 0.660436137071651 , 0.6153846153846154, 0.6236559139784946, 0.03598044303946779   , 0.032419967444384135   , 0.005691924791809244 , 0.03065653825284853 , 0.06483993488876827 , 0.017905588714053233 , 0.0007112875815013558 , 0.0004464942912795578 , 1.2678267220626612e-05,      0.02,               0.01,           0.13,             0.1
eq15          , 0.632183908045977 , 0.6168582375478927, 0.6206896551724138, 0.7018633540372671, 0.6402877697841727, 0.6319702602230484, 0.46861998298313867   , -0.028299388677962778  , -0.014414194248012713, 0.4052342760658506  , -0.07935837906289578, -0.02384972562262566 , 0.12385197342513998   , 0.000544234431273773  , 0.00011321158866736512,      0.02,               0.0 ,           0.14,             0.1
eq15          , 0.6015325670498084, 0.5938697318007663, 0.5900383141762452, 0.6666666666666666, 0.5691056910569106, 0.6022304832713755, 0.01821622265927636   , -0.04600095357291861   , -0.0812533524047917  , 0.011204481792717047, -0.0868347338935575 , -0.0798319327731093  , 0.00016233285851449049, 0.001087457611614326  , 0.003043767998901351  ,      0.04,               0.07,           0.22,             0.18
eq15          , 0.6436781609195402, 0.6091954022988506, 0.5938697318007663, 0.7009646302250804, 0.625             , 0.5826771653543307, -0.06812058714232627  , 0.00907290173594516    , -0.03665823910389121 , -0.08068561872909707, -0.09197324414715724, -0.07232441471571904 , 0.002464900004777296  , 6.110214496077246e-07 , 0.0007759970848444452 ,      0.2 ,               0.05,           0.29,             0.16
eq15          , 0.6206896551724138, 0.6053639846743295, 0.5900383141762452, 0.6972477064220184, 0.6411149825783972, 0.599250936329588 , 0.17538254889318716   , -0.0487728347302816    , -0.0807903503116269  , 0.14743176445304107 , -0.13754566946056312, -0.13324736728992048 , 0.016573861923444618  , 0.0015510235991897472 , 0.003440373543053351  ,      0.11,               0.11,           0.27,             0.38
eq15          , 0.6091954022988506, 0.6206896551724138, 0.632183908045977 , 0.6851851851851852, 0.611764705882353 , 0.6470588235294118, 0.12743253325606363   , -0.06244809974997839   , -0.07996240058377935 , 0.04049416609471512 , -0.0581102722489133 , -0.11072981011210248 , 0.008552799565676185  , 0.0018960423450684175 , 0.003259262814214875  ,      0.1 ,               0.15,           0.18,             0.24
