fairness_lambda, num_comp_pairs_eval, MSE_lr              , MSE_unweight       , MSE_weight         , MSE_vgg_baseline, MSE_fairreg, spearman_lr       , spearman_unweighted, spearman_weighted , spearman_vgg_baseline, spearman_fairreg, pearson_lr          , pearson_unweighted, pearson_weighted  , pearson_vgg_baseline, pearson_fairreg, I_sep_lr             , I_sep_bi            , I_sep_weighted_bi    , I_sep_vgg_baseline_bi, I_sep_fairreg_bi, violate_r, violate_r_weighted, violate_r_vgg_baseline, violate_r_fairreg, violate_comp_r, violate_comp_r_w, violate_comp_r_vgg_baseline, violate_comp_r_fairreg
            0.1,                   4, 0.021761234785835512, 0.17805750452281738, 0.18677300181276538,                 ,            , 0.7901129580167097,  0.7541169084153498, 0.722441367516044 ,                      ,                 , 0.7740188594777258  , 0.654760359459479 , 0.6329491640636671,                     ,                , 0.10533024759466805  , 0.031246995040757116, 0.000544569694875921 ,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.93,             0.86,                            , 
            0.1,                   4, 0.020126169773641202, 0.17533610972786437, 0.13663951287763598,                 ,            , 0.8023811606574249,  0.7958667039755966, 0.7517085023074801,                      ,                 , 0.787978241239307   , 0.7110005914435205, 0.6592397677651691,                     ,                , 0.03910776021016727  , 0.014506741914918473, 0.0007402151377672158,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.92,             0.9 ,                            , 
            0.1,                   4, 0.018022739592031232, 0.15901069981993884, 0.1585645948180184 ,                 ,            , 0.8157730472498398,  0.8000086275151822, 0.6864482561997295,                      ,                 , 0.8203940921078604  , 0.71363879585155  , 0.5921923539585497,                     ,                , 0.09449430369333987  , 0.055099562018155815, 5.000634602490025e-05,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.91,             0.91,                            , 
            0.1,                   4, 0.018303686222879846, 0.21014453054322962, 0.21325095410945466,                 ,            , 0.8371662055366803,  0.8079056023359211, 0.7164178232382915,                      ,                 , 0.7957984313919371  , 0.7210283706731428, 0.5993476255626877,                     ,                , 0.045655670187472026 , 0.02855056067611129 , 0.009842603607680649 ,                      ,                 ,       1.0,               0.99,                       ,                  ,           0.94,             0.9 ,                            , 
            0.1,                   4, 0.01861906332608917 , 0.20716468592092444, 0.19492023940279168,                 ,            , 0.828815434301493 ,  0.7993147365124641, 0.7653237831054015,                      ,                 , 0.8199351019398332  , 0.7058980153423644, 0.67778646371637  ,                     ,                , 0.0898271138165069   , 0.04198572961310077 , 0.0028512660379312986,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.96,             0.91,                            , 
            0.1,                   4, 0.02065929412981693 , 0.2067999923180936 , 0.23318793314780098,                 ,            , 0.8174859442985029,  0.7884059970527558, 0.7652391803030438,                      ,                 , 0.7863511256621603  , 0.7109006089075824, 0.7007598419339219,                     ,                , 0.14088685743430232  , 0.06490214296368742 , 0.0008828449875211923,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.91,             0.85,                            , 
            0.1,                   4, 2.31517631249301e+18, 0.18681814677247152, 0.17521207693707816,                 ,            , 0.7943304871433635,  0.770543575609429 , 0.7005717715246641,                      ,                 , -0.11437969815511091, 0.6574419856497906, 0.611843019254678 ,                     ,                , 0.0006012663267340933, 0.01885137471635772 , 0.006857748543142309 ,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.91,             0.86,                            , 
            0.1,                   4, 0.02162160641939377 , 0.3192599465265842 , 0.21811992463546515,                 ,            , 0.8038530287095871,  0.7685234349653279, 0.7178645287548203,                      ,                 , 0.7993320725918565  , 0.6940901600827972, 0.607423812246958 ,                     ,                , 0.0638303467127228   , 0.04776253989816131 , 0.0022304345177651726,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.95,             0.84,                            , 
            0.1,                   4, 0.02089829115003326 , 0.2100668544510457 , 0.18134070259388899,                 ,            , 0.8249269651528692,  0.7947100647807753, 0.710882034776771 ,                      ,                 , 0.8030782435338941  , 0.7012027394435877, 0.5951498824741921,                     ,                , 0.06486596413009114  , 0.0561470405425977  , 0.0016924562302285046,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.93,             0.87,                            , 
            0.1,                   4, 0.015855807830609216, 0.12326265892612957, 0.5298896376650657 ,                 ,            , 0.8198410874966374,  0.7713874719049706, 0.7724112443182581,                      ,                 , 0.8120272016040196  , 0.7051562702821464, 0.7223462219639114,                     ,                , 0.07713877280787765  , 0.07654966716759574 , 0.004040251863971925 ,                      ,                 ,       1.0,               1.0 ,                       ,                  ,           0.95,             0.92,                            , 
